Local Image Filename,Product Handle,Product Title,Current Image Src,Shopify CDN URL,Status,Notes
01-zarishk.jpg,zarishk-imported; zarishk-pakistani,Zarishk Imported; Zarishk Pakistani,https://morganics.store/assets/products/01-zarishk.jpg,,Duplicate filename - review shared image / Paste Shopify CDN URL,Found in assets/morganics/products/01-zarishk.jpg. Used by 2 product image rows. Copy the URL from Shopify Admin > Content > Files and paste it into Shopify CDN URL.
02-kajo-roasted.jpg,kajo-roasted,Kajo Roasted,https://morganics.store/assets/products/02-kajo-roasted.jpg,,Paste Shopify CDN URL,Found in assets/morganics/products/02-kajo-roasted.jpg. Copy the URL from Shopify Admin > Content > Files and paste it into Shopify CDN URL.
03-hareer-sabaz.jpg,hareer-sabaz,Hareer Sabaz,https://morganics.store/assets/products/03-hareer-sabaz.jpg,,Paste Shopify CDN URL,Found in assets/morganics/products/03-hareer-sabaz.jpg. Copy the URL from Shopify Admin > Content > Files and paste it into Shopify CDN URL.
04-kajo-fry.jpg,kajo-fry,Kajo Fry,https://morganics.store/assets/products/04-kajo-fry.jpg,,Paste Shopify CDN URL,Found in assets/morganics/products/04-kajo-fry.jpg. Copy the URL from Shopify Admin > Content > Files and paste it into Shopify CDN URL.
05-chasko-herb.jpg,chasko-herb,Chasko Herb,https://morganics.store/assets/products/05-chasko-herb.jpg,,Paste Shopify CDN URL,Found in assets/morganics/products/05-chasko-herb.jpg. Copy the URL from Shopify Admin > Content > Files and paste it into Shopify CDN URL.
06-ginseng-white.jpg,ginseng-white,Ginseng White,https://morganics.store/assets/products/06-ginseng-white.jpg,,Paste Shopify CDN URL,Found in assets/morganics/products/06-ginseng-white.jpg. Copy the URL from Shopify Admin > Content > Files and paste it into Shopify CDN URL.
07-ashwagandha.jpg,ashwagandha,Ashwagandha,https://morganics.store/assets/products/07-ashwagandha.jpg,,Paste Shopify CDN URL,Found in assets/morganics/products/07-ashwagandha.jpg. Copy the URL from Shopify Admin > Content > Files and paste it into Shopify CDN URL.
08-gur.jpg,gur,Gur,https://morganics.store/assets/products/08-gur.jpg,,Paste Shopify CDN URL,Found in assets/morganics/products/08-gur.jpg. Copy the URL from Shopify Admin > Content > Files and paste it into Shopify CDN URL.
09-konch.jpg,konch,Konch,https://morganics.store/assets/products/09-konch.jpg,,Paste Shopify CDN URL,Found in assets/morganics/products/09-konch.jpg. Copy the URL from Shopify Admin > Content > Files and paste it into Shopify CDN URL.
10-sarson-black.jpg,sarson-black,Sarson Black,https://morganics.store/assets/products/10-sarson-black.jpg,,Paste Shopify CDN URL,Found in assets/morganics/products/10-sarson-black.jpg. Copy the URL from Shopify Admin > Content > Files and paste it into Shopify CDN URL.
11-luban.jpg,luban,Luban,https://morganics.store/assets/products/11-luban.jpg,,Paste Shopify CDN URL,Found in assets/morganics/products/11-luban.jpg. Copy the URL from Shopify Admin > Content > Files and paste it into Shopify CDN URL.
12-musabbar.jpg,musabbar,Musabbar,https://morganics.store/assets/products/12-musabbar.jpg,,Paste Shopify CDN URL,Found in assets/morganics/products/12-musabbar.jpg. Copy the URL from Shopify Admin > Content > Files and paste it into Shopify CDN URL.
13-munakka-black.jpg,munaqqa,Munaqqa,https://morganics.store/assets/products/13-munakka-black.jpg,,Paste Shopify CDN URL,Found in assets/morganics/products/13-munakka-black.jpg. Copy the URL from Shopify Admin > Content > Files and paste it into Shopify CDN URL.
14-almond-with-shell.jpg,badam-abdul-wahidi; maghaz-badam-abdul-wahidi,Badam Abdul Wahidi; Maghaz Badam Abdul Wahidi,https://morganics.store/assets/products/14-almond-with-shell.jpg,,Duplicate filename - review shared image / Paste Shopify CDN URL,Found in assets/morganics/products/14-almond-with-shell.jpg. Used by 2 product image rows. Copy the URL from Shopify Admin > Content > Files and paste it into Shopify CDN URL.
